game,category,game+category,time(seconds),released_year,nb_of_runs,main_platform,main_genre,engine,developer,publisher,nb_of_platforms,nb_of_genres
Super Mario Bros. 3,100%,Super Mario Bros. 3 - 100%,4198.183,1988,127,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any% Warpless,Super Mario Bros. 3 - Any% Warpless,3030,1988,272,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any% (No Wrong Warp),Super Mario Bros. 3 - Any% (No Wrong Warp),644.216,1988,355,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any%,Super Mario Bros. 3 - Any%,182.383,1988,385,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario World,96 Exit,Super Mario World - 96 Exit,4903.74,1990,252,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,All Castles,Super Mario World - All Castles,2039.554,1990,230,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,No Starworld,Super Mario World - No Starworld,1962.577,1990,250,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,11 Exit,Super Mario World - 11 Exit,583.75,1990,1312,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,0 Exit,Super Mario World - 0 Exit,4122,1990,32,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"95 Exit, No Cape","Super Mario World - 95 Exit, No Cape",5209.22,1990,37,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, No Cape","Super Mario World - All Castles, No Cape",2219,1990,39,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Cape, No Starworld","Super Mario World - No Cape, No Starworld",2060.33,1990,153,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"11 Exit, No Cape","Super Mario World - 11 Exit, No Cape",612.1,1990,189,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, Small Only","Super Mario World - All Castles, Small Only",2374,1990,17,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Starworld, Small Only","Super Mario World - No Starworld, Small Only",2132.704,1990,24,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Small Only,Super Mario World - Small Only,884.932,1990,83,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Lunar Dragon,Super Mario World - Lunar Dragon,5505,1990,21,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
The Legend of Zelda: A Link to the Past,No Major Glitches,The Legend of Zelda: A Link to the Past - No Major Glitches,1295,1991,1186,Super Nintendo,Action Adventure,,Nintendo,Nintendo,8,1
The Legend of Zelda: A Link to the Past,Restricted Major Glitches,The Legend of Zelda: A Link to the Past - Restricted Major Glitches,1042,1991,114,Super Nintendo,Action Adventure,,Nintendo,Nintendo,8,1
The Legend of Zelda: A Link to the Past,Major Glitches,The Legend of Zelda: A Link to the Past - Major Glitches,91,1991,771,Super Nintendo,Action Adventure,,Nintendo,Nintendo,8,1
The Legend of Zelda: A Link to the Past,Misc,The Legend of Zelda: A Link to the Past - Misc,2106,1991,60,Super Nintendo,Action Adventure,,Nintendo,Nintendo,8,1
Super Mario 64,120 Star,Super Mario 64 - 120 Star,5901,1996,668,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,70 Star,Super Mario 64 - 70 Star,2819,1996,1633,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,16 Star,Super Mario 64 - 16 Star,8989,1996,3993,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,1 Star,Super Mario 64 - 1 Star,431.86,1996,404,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,0 Star,Super Mario 64 - 0 Star,391.52,1996,101,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario World,96 Exit,Super Mario World - 96 Exit,4903.74,1990,252,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,All Castles,Super Mario World - All Castles,2039.554,1990,230,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,No Starworld,Super Mario World - No Starworld,1962.577,1990,250,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,11 Exit,Super Mario World - 11 Exit,583.75,1990,1312,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,0 Exit,Super Mario World - 0 Exit,4122,1990,32,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"95 Exit, No Cape","Super Mario World - 95 Exit, No Cape",5209.22,1990,37,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, No Cape","Super Mario World - All Castles, No Cape",2219,1990,39,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Cape, No Starworld","Super Mario World - No Cape, No Starworld",2060.33,1990,153,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"11 Exit, No Cape","Super Mario World - 11 Exit, No Cape",612.1,1990,189,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, Small Only","Super Mario World - All Castles, Small Only",2374,1990,17,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Starworld, Small Only","Super Mario World - No Starworld, Small Only",2132.704,1990,24,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Small Only,Super Mario World - Small Only,884.932,1990,83,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Lunar Dragon,Super Mario World - Lunar Dragon,5505,1990,21,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Mario Kart 64,All Cups (No Skips),Mario Kart 64 - All Cups (No Skips),2296,1996,395,Nintendo 64,Racing,,Nintendo,Nintendo,3,1
Mario Kart 64,All Cups (Skips),Mario Kart 64 - All Cups (Skips),1432.18,1996,76,Nintendo 64,Racing,,Nintendo,Nintendo,3,1
Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797,1994,41,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833,1994,15,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421,1994,19,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Co-op/1p2c,Sonic 3 & Knuckles - Co-op/1p2c,1937,1994,5,GameCube,Action,,Sonic Team,SEGA,10,1
Super Mario 64,120 Star,Super Mario 64 - 120 Star,5901,1996,668,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,70 Star,Super Mario 64 - 70 Star,2819,1996,1633,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,16 Star,Super Mario 64 - 16 Star,8989,1996,3993,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,1 Star,Super Mario 64 - 1 Star,431.86,1996,404,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
Super Mario 64,0 Star,Super Mario 64 - 0 Star,391.52,1996,101,Nintendo 64,3D Platformer,,Nintendo,Nintendo,3,1
007: NightFire (GBA),Any% Normal,007: NightFire (GBA) - Any% Normal,2724,2003,1,Game Boy Advance,,,,,1,
007: NightFire (GBA),Any% Hard,007: NightFire (GBA) - Any% Hard,2724,2003,0,Game Boy Advance,,,,,1,
Super Metroid,Any%,Super Metroid - Any%,2455,1994,1140,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,100%,Super Metroid - 100%,4384,1994,498,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Low%,Super Metroid - Low%,2905,1994,79,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,RBO,Super Metroid - RBO,3517,1994,110,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Any% Glitched,Super Metroid - Any% Glitched,698,1994,29,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,GT Code,Super Metroid - GT Code,891,1994,199,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Map Completion,Super Metroid - Map Completion,4665,1994,32,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Celeste,Any%,Celeste - Any%,0,2018,2498,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Celeste,All Red Berries,Celeste - All Red Berries,0,2018,154,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Celeste,True Ending,Celeste - True Ending,0,2018,82,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Celeste,All Hearts,Celeste - All Hearts,0,2018,59,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Celeste,All Chapters,Celeste - All Chapters,0,2018,24,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Celeste,100%,Celeste - 100%,0,2018,63,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,7,1
Super Mario World,96 Exit,Super Mario World - 96 Exit,4903.74,1990,252,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,All Castles,Super Mario World - All Castles,2039.554,1990,230,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,No Starworld,Super Mario World - No Starworld,1962.577,1990,250,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,11 Exit,Super Mario World - 11 Exit,583.75,1990,1312,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,0 Exit,Super Mario World - 0 Exit,4122,1990,32,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"95 Exit, No Cape","Super Mario World - 95 Exit, No Cape",5209.22,1990,37,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, No Cape","Super Mario World - All Castles, No Cape",2219,1990,39,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Cape, No Starworld","Super Mario World - No Cape, No Starworld",2060.33,1990,153,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"11 Exit, No Cape","Super Mario World - 11 Exit, No Cape",612.1,1990,189,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"All Castles, Small Only","Super Mario World - All Castles, Small Only",2374,1990,17,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,"No Starworld, Small Only","Super Mario World - No Starworld, Small Only",2132.704,1990,24,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Small Only,Super Mario World - Small Only,884.932,1990,83,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
Super Mario World,Lunar Dragon,Super Mario World - Lunar Dragon,5505,1990,21,Super Nintendo,Platformer,,Nintendo,Nintendo,7,2
The Legend of Zelda: Majora's Mask,Any%,The Legend of Zelda: Majora's Mask - Any%,1485,2000,307,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,100%,The Legend of Zelda: Majora's Mask - 100%,15468,2000,68,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,All Masks,The Legend of Zelda: Majora's Mask - All Masks,5048,2000,53,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,All Dungeons,The Legend of Zelda: Majora's Mask - All Dungeons,2440,2000,46,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Defeat Majora,The Legend of Zelda: Majora's Mask - Defeat Majora,162967,2000,19,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,AFR,The Legend of Zelda: Majora's Mask - AFR,6604,2000,28,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,TDC,The Legend of Zelda: Majora's Mask - TDC,5845,2000,5,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Glitchless,The Legend of Zelda: Majora's Mask - Glitchless,8890,2000,142,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
The Legend of Zelda: Majora's Mask,Monthlies,The Legend of Zelda: Majora's Mask - Monthlies,865,2000,3,Nintendo 64,Action-adventure,,Nintendo EAD,Nintendo,4,1
Metal Slug 3,Medium,Metal Slug 3 - Medium,1459,2000,39,Wii Virtual Console,Run'n'gun,,snk,,16,1
Metal Slug 3,Easy,Metal Slug 3 - Easy,1364,2000,52,Wii Virtual Console,Run'n'gun,,snk,,16,1
Metal Slug 3,Hard,Metal Slug 3 - Hard,1701,2000,8,Wii Virtual Console,Run'n'gun,,snk,,16,1
Metal Slug 3,Very Hard,Metal Slug 3 - Very Hard,1872,2000,12,Wii Virtual Console,Run'n'gun,,snk,,16,1
Super Metroid,Any%,Super Metroid - Any%,2455,1994,1140,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,100%,Super Metroid - 100%,4384,1994,498,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Low%,Super Metroid - Low%,2905,1994,79,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,RBO,Super Metroid - RBO,3517,1994,110,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Any% Glitched,Super Metroid - Any% Glitched,698,1994,29,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,GT Code,Super Metroid - GT Code,891,1994,199,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Super Metroid,Map Completion,Super Metroid - Map Completion,4665,1994,32,Super Nintendo,Action Adventure,,DeerForce,Nintendo,8,2
Contra,Any%,Contra - Any%,588.65,1988,252,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low%,Contra - Low%,672,1988,23,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Any% (Japanese Version),Contra - Any% (Japanese Version),569,1988,24,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low% (Japanese Version),Contra - Low% (Japanese Version),648,1988,5,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Any% (2 Player),Contra - Any% (2 Player),591,1988,14,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Low% (2 Player),Contra - Low% (2 Player),617,1988,3,Nintendo Entertainment System,,,Konami,Konami,2,
Contra,Pacifist,Contra - Pacifist,1040,1988,1,Nintendo Entertainment System,,,Konami,Konami,2,
Castlevania: Symphony of the Night,Alucard,Castlevania: Symphony of the Night - Alucard,619,1997,175,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Richter,Castlevania: Symphony of the Night - Richter,308.166,1997,26,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
Castlevania: Symphony of the Night,Maria,Castlevania: Symphony of the Night - Maria,360.985,1997,34,Sega Saturn,Platform-adventure,,Konami Computer Entertainment Tokyo,Konami,9,2
F-Zero X,Grand Prix,F-Zero X - Grand Prix,2378,1998,18,Nintendo 64,Racing,,,,4,1
F-Zero X,"Grand Prix, Individual Cups","F-Zero X - Grand Prix, Individual Cups",51871,1998,19,Nintendo 64,Racing,,,,4,1
F-Zero X,Time Attack,F-Zero X - Time Attack,2319,1998,4,Nintendo 64,Racing,,,,4,1
Super Mario Bros. 2,Any%,Super Mario Bros. 2 - Any%,493.521,1988,197,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,All Levels,Super Mario Bros. 2 - All Levels,1236,1988,37,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,Any% All-Stars,Super Mario Bros. 2 - Any% All-Stars,449,1988,52,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,Any% No S+Q All-Stars,Super Mario Bros. 2 - Any% No S+Q All-Stars,514,1988,25,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,All Levels All-Stars,Super Mario Bros. 2 - All Levels All-Stars,1233,1988,28,Nintendo Entertainment System,,,,,7,
The Legend of Zelda: Link's Awakening DX,Any% (No WW/OoB),The Legend of Zelda: Link's Awakening DX - Any% (No WW/OoB),2939,1998,61,Game Boy Color,Action-adventure,,,,6,1
The Legend of Zelda: Link's Awakening DX,100%,The Legend of Zelda: Link's Awakening DX - 100%,1964,1998,54,Game Boy Color,Action-adventure,,,,6,1
The Legend of Zelda: Link's Awakening DX,Any% (No S+Q/WW/OoB),The Legend of Zelda: Link's Awakening DX - Any% (No S+Q/WW/OoB),3091,1998,117,Game Boy Color,Action-adventure,,,,6,1
The Legend of Zelda: Link's Awakening DX,Any%,The Legend of Zelda: Link's Awakening DX - Any%,132.633,1998,94,Game Boy Color,Action-adventure,,,,6,1
The Legend of Zelda: Link's Awakening DX,Any% (No ST/WW),The Legend of Zelda: Link's Awakening DX - Any% (No ST/WW),1917,1998,16,Game Boy Color,Action-adventure,,,,6,1
Zelda II: The Adventure of Link,"100% All Keys, 1CC","Zelda II: The Adventure of Link - 100% All Keys, 1CC",442655,1987,182,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% Deathless,Zelda II: The Adventure of Link - Any% Deathless,345659,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100% Deathless,Zelda II: The Adventure of Link - 100% Deathless,4006,1987,10,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% NMG,Zelda II: The Adventure of Link - Any% NMG,2940.316,1987,26,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100% NMG,Zelda II: The Adventure of Link - 100% NMG,3716.341,1987,38,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any%,Zelda II: The Adventure of Link - Any%,998,1987,24,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,100%,Zelda II: The Adventure of Link - 100%,3091.316,1987,15,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,New Game+,Zelda II: The Adventure of Link - New Game+,569.3,1987,16,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,New Game+ NMG,Zelda II: The Adventure of Link - New Game+ NMG,2112.767,1987,43,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% No Door Fairying,Zelda II: The Adventure of Link - Any% No Door Fairying,4000.379,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Any% No Scroll Lock,Zelda II: The Adventure of Link - Any% No Scroll Lock,2495.75,1987,9,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Zelda II: The Adventure of Link,Reverse Boss Order,Zelda II: The Adventure of Link - Reverse Boss Order,2849.6,1987,7,Nintendo Entertainment System,Action RPG,,Nintendo,Nintendo,16,2
Donkey Kong Country,All Stages,Donkey Kong Country - All Stages,1857,1994,261,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,101%,Donkey Kong Country - 101%,2708,1994,67,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,Any%,Donkey Kong Country - Any%,450.333,1994,89,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,Old Summon,Donkey Kong Country - Old Summon,929.19,1994,52,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,No Major Skips,Donkey Kong Country - No Major Skips,2432,1994,29,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,No Major Glitches,Donkey Kong Country - No Major Glitches,2047.617,1994,33,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country,RBO,Donkey Kong Country - RBO,1646,1994,14,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Vs. Castlevania,Any% Easy,Vs. Castlevania - Any% Easy,733,1987,4,Arcade,Platformer,,Konami,Nintendo,1,1
Vs. Castlevania,Any% Hard,Vs. Castlevania - Any% Hard,741,1987,1,Arcade,Platformer,,Konami,Nintendo,1,1
Donkey Kong Country 2: Diddy's Kong Quest,Any%,Donkey Kong Country 2: Diddy's Kong Quest - Any%,2294,1995,273,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 2: Diddy's Kong Quest,102%,Donkey Kong Country 2: Diddy's Kong Quest - 102%,5154,1995,89,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 2: Diddy's Kong Quest,Warpless,Donkey Kong Country 2: Diddy's Kong Quest - Warpless,2958,1995,45,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Donkey Kong Country 2: Diddy's Kong Quest,True Ending,Donkey Kong Country 2: Diddy's Kong Quest - True Ending,2195,1995,23,Super Nintendo,Platformer,,Rare,Nintendo,6,1
Castlevania: Portrait of Ruin,No OoB,Castlevania: Portrait of Ruin - No OoB,2574,2006,14,Nintendo DS,,,,,2,
Castlevania: Portrait of Ruin,Richter Mode,Castlevania: Portrait of Ruin - Richter Mode,1438,2006,10,Nintendo DS,,,,,2,
Castlevania: Portrait of Ruin,Any%,Castlevania: Portrait of Ruin - Any%,736,2006,8,Nintendo DS,,,,,2,
Castlevania: Portrait of Ruin,All Bosses,Castlevania: Portrait of Ruin - All Bosses,3545,2006,1,Nintendo DS,,,,,2,
Crusader of Centy,Any%,Crusader of Centy - Any%,2131,1994,31,Sega Genesis,,,,,1,
Crusader of Centy,100%,Crusader of Centy - 100%,3692,1994,5,Sega Genesis,,,,,1,
Crusader of Centy,All Bosses,Crusader of Centy - All Bosses,2454,1994,10,Sega Genesis,,,,,1,
Super Mario Bros. 2,Any%,Super Mario Bros. 2 - Any%,493.521,1988,197,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,All Levels,Super Mario Bros. 2 - All Levels,1236,1988,37,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,Any% All-Stars,Super Mario Bros. 2 - Any% All-Stars,449,1988,52,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,Any% No S+Q All-Stars,Super Mario Bros. 2 - Any% No S+Q All-Stars,514,1988,25,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 2,All Levels All-Stars,Super Mario Bros. 2 - All Levels All-Stars,1233,1988,28,Nintendo Entertainment System,,,,,7,
Super Mario Bros. 3,100%,Super Mario Bros. 3 - 100%,4198.183,1988,127,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any% Warpless,Super Mario Bros. 3 - Any% Warpless,3030,1988,272,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any% (No Wrong Warp),Super Mario Bros. 3 - Any% (No Wrong Warp),644.216,1988,355,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Mario Bros. 3,Any%,Super Mario Bros. 3 - Any%,182.383,1988,385,Nintendo Entertainment System,Platformer,,Nintendo,,9,1
Super Smash Bros. Brawl,Subspace Emissary,Super Smash Bros. Brawl - Subspace Emissary,4285,2008,103,Wii U,Fighting,Havok,Nintendo,Nintendo,2,1
Super Smash Bros. Brawl,All Events,Super Smash Bros. Brawl - All Events,1344,2008,25,Wii U,Fighting,Havok,Nintendo,Nintendo,2,1
Super Smash Bros. Brawl,Classic,Super Smash Bros. Brawl - Classic,298,2008,76,Wii U,Fighting,Havok,Nintendo,Nintendo,2,1
Super Smash Bros. Brawl,All-Star,Super Smash Bros. Brawl - All-Star,0,2008,44,Wii U,Fighting,Havok,Nintendo,Nintendo,2,1
Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797,1994,41,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833,1994,15,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421,1994,19,GameCube,Action,,Sonic Team,SEGA,10,1
Sonic 3 & Knuckles,Co-op/1p2c,Sonic 3 & Knuckles - Co-op/1p2c,1937,1994,5,GameCube,Action,,Sonic Team,SEGA,10,1
Super Mario Sunshine,Any%,Super Mario Sunshine - Any%,4419,2002,1309,GameCube,Platformer,,Nintendo,Nintendo,2,2
Super Mario Sunshine,120 Shines,Super Mario Sunshine - 120 Shines,10468,2002,268,GameCube,Platformer,,Nintendo,Nintendo,2,2
Super Mario Sunshine,96 Shines,Super Mario Sunshine - 96 Shines,9095,2002,104,GameCube,Platformer,,Nintendo,Nintendo,2,2
Super Mario Sunshine,79 Shines,Super Mario Sunshine - 79 Shines,8365,2002,110,GameCube,Platformer,,Nintendo,Nintendo,2,2
Super Mario Sunshine,All Blue Coins,Super Mario Sunshine - All Blue Coins,6822,2002,35,GameCube,Platformer,,Nintendo,Nintendo,2,2
