,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference,Unpopular,Somehow_Popular,Popular,Very_Popular,Young,Somehow_Old,Old,Very_Old,Short,Somehow_Long,Long,Very_Long
33,Punky Skunk,Any%,Punky Skunk - Any%,3218.0,1996,25,5,PlayStation 2,Adventure Platformer,,Jaleco,,2853.37,,364.6300000000001,11.3309509011809,0,1,0,0,1,0,0,0,0,0,0,1
34,Donkey Kong Country 4,Any%,Donkey Kong Country 4 - Any%,874.0,1997,24,7,Nintendo Entertainment System,,,Hummer Team,,776.27,,97.73000000000002,11.1819221967963,0,1,0,0,1,0,0,0,0,1,0,0
35,Braid,Any%,Braid - Any%,1481.54,2008,13,53,PlayStation 3,Puzzle,,,,1179.58,,301.96000000000004,20.3814949309502,0,0,0,1,0,0,0,1,0,0,1,0
36,Tiny Toon Adventures,Any%,Tiny Toon Adventures - Any%,751.0,1991,30,36,Nintendo Entertainment System,,,,,659.88,BizHawk,91.12,12.133155792277,0,0,0,1,0,0,0,1,0,1,0,0
37,Super Boy 4,Any%,Super Boy 4 - Any%,674.0,1992,29,5,,,,,,603.01,,70.99000000000001,10.5326409495549,0,1,0,0,1,0,0,0,0,1,0,0
38,Rocket: Robot on Wheels,100%,Rocket: Robot on Wheels - 100%,5229.0,1999,22,5,Nintendo 64,Platformer,,Sucker Punch Productions,Ubisoft,4492.8,,736.1999999999998,14.07917383821,0,1,0,0,1,0,0,0,0,0,0,1
39,Karnov,Any%,Karnov - Any%,527.216,1987,34,48,Nintendo Entertainment System,,,,,518.91,,8.30600000000004,1.57544535825924,0,0,0,1,0,0,0,1,1,0,0,0
40,James Bond Jr.,Any%,James Bond Jr. - Any%,1291.0,1991,30,5,Nintendo Entertainment System,,,Eurocom,THQ,1109.84,,181.16000000000008,14.0325329202169,0,1,0,0,1,0,0,0,0,0,1,0
41,Arumana no Kiseki,Any%,Arumana no Kiseki - Any%,574.0,1987,34,2,Nintendo Entertainment System,,,Konami,Konami,483.6,FCEUX,90.39999999999998,15.7491289198606,1,0,0,0,1,0,0,0,1,0,0,0
42,Sword of Vermilion,Any%,Sword of Vermilion - Any%,8546.0,1989,32,2,Wii Virtual Console,Role-playing Game,,,,5603.86,,2942.14,34.4271003978469,1,0,0,0,1,0,0,0,0,0,0,1
43,Mouse Trap Hotel,Any%,Mouse Trap Hotel - Any%,1503.0,1992,29,2,Game Boy Player,Platformer,,Imagineering,Electro Brain,1395.81,,107.19000000000004,7.13173652694611,1,0,0,0,1,0,0,0,0,0,1,0
44,DK: King of Swing,Any%,DK: King of Swing - Any%,1133.0,2005,16,8,Game Boy Advance,,,,,1054.47,BizHawk,78.52999999999997,6.93115622241836,0,0,1,0,1,0,0,0,0,1,0,0
45,Paper Mario: The Thousand-Year Door,Any%,Paper Mario: The Thousand-Year Door - Any%,8322.0,2004,17,94,GameCube,RPG,,Intelligent Systems,Nintendo,6429.03,Dolphin,1892.9700000000005,22.7465753424658,0,0,0,1,0,0,0,1,0,0,0,1
46,Oddworld: Abe's Oddysee,100%,Oddworld: Abe's Oddysee - 100%,5356.401,1997,24,3,PlayStation,Platform,A.L.I.V.E,Oddworld Inhabitants,GT Interactive,3856.17,,1500.231,28.0081905742307,1,0,0,0,1,0,0,0,0,0,0,1
47,H.E.R.O.,Any%,H.E.R.O. - Any%,1181.0,1984,37,1,Commodore 64,,,,,607.03,,573.97,48.6003386960203,1,0,0,0,1,0,0,0,0,1,0,0
48,Kid Icarus,Any%,Kid Icarus - Any%,1258.0,1986,35,47,Nintendo Entertainment System,,,,,1166.41,FCEUX,91.58999999999992,7.2806041335453,0,0,0,1,0,0,0,1,0,0,1,0
49,Baba Is You,Any%,Baba Is You - Any%,295.81,2019,2,23,PC,Puzzle,,Hempuli,,168.7,,127.11,42.9701497582908,0,0,0,1,0,1,0,0,1,0,0,0
50,Shadow of the Ninja,Any%,Shadow of the Ninja - Any%,636.19,1991,30,24,Nintendo Entertainment System,,,,,570.41,,65.78000000000009,10.3396783979629,0,0,0,1,0,1,0,0,1,0,0,0
51,The Emperor's New Groove,Any%,The Emperor's New Groove - Any%,762.0,2000,21,1,Dreamcast,,,,,453.91,,308.09,40.4317585301837,1,0,0,0,1,0,0,0,0,1,0,0
52,Mechanized Attack,Any%,Mechanized Attack - Any%,756.0,1990,31,2,Nintendo Entertainment System,,,,,596.83,,159.16999999999996,21.0542328042328,1,0,0,0,1,0,0,0,0,1,0,0
53,Hamtaro: Ham-Hams Unite!,Any%,Hamtaro: Ham-Hams Unite! - Any%,2634.0,2002,19,17,Game Boy Color,,,,,2582.27,,51.73000000000002,1.96393318147305,0,0,1,0,1,0,0,0,0,0,0,1
54,Baseball,Any%,Baseball - Any%,901.0,1983,38,16,Nintendo Entertainment System,,,,,491.06,,409.94,45.4983351831299,0,0,1,0,1,0,0,0,0,1,0,0
55,King Kong 2: Ikari no Megaton Punch,Any%,King Kong 2: Ikari no Megaton Punch - Any%,177.667,1986,35,39,Nintendo Entertainment System,,,Konami,,175.31,,2.3569999999999998,1.32663916202784,0,0,0,1,0,0,0,1,1,0,0,0
56,Dash Galaxy in the Alien Asylum,Any%,Dash Galaxy in the Alien Asylum - Any%,374.0,1990,31,7,Nintendo Entertainment System,,,,,368.28,,5.720000000000027,1.52941176470589,0,1,0,0,1,0,0,0,1,0,0,0
57,NFL Street 2,NFL Challenge,NFL Street 2 - NFL Challenge,3087.0,2004,17,3,GameCube,Sports,Gamecube,EA Tiburon,EA Sports BIG,1327.1,,1759.9,57.0100421120829,1,0,0,0,1,0,0,0,0,0,0,1
58,Dynamite Headdy,Any%,Dynamite Headdy - Any%,2253.0,1994,27,19,Wii Virtual Console,Platformer,,Treasure,SEGA,1959.59,BizHawk,293.4100000000001,13.023080337328,0,0,1,0,1,0,0,0,0,0,1,0
59,INK,Any%,INK - Any%,635.82,2015,6,28,PlayStation 4,,,,,532.57,,103.25,16.2388726369098,0,0,0,1,0,1,0,0,1,0,0,0
60,Order of Twilight,Any%,Order of Twilight - Any%,164.76,2012,9,1,PC,Platformer,,Stabyourself.net,Stabyouself.net,47.23,,117.53,71.3340616654528,1,0,0,0,1,0,0,0,1,0,0,0
61,New Super Mario Bros. Wii,100%,New Super Mario Bros. Wii - 100%,10787.0,2009,12,39,Wii U,Platformer,,Nintendo,Nintendo,10713.27,Dolphin,73.72999999999956,0.683507926207468,0,0,0,1,0,0,0,1,0,0,0,1
62,Crusader of Centy,Any%,Crusader of Centy - Any%,2131.0,1994,27,31,Sega Genesis,,,,,1750.77,BizHawk,380.23,17.8427968090099,0,0,0,1,0,0,1,0,0,0,1,0
63,Multidude,Any%,Multidude - Any%,378.0,2015,6,1,Nintendo Entertainment System,,,,,308.43,,69.57,18.4047619047619,1,0,0,0,1,0,0,0,1,0,0,0
64,Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi!,Any%,Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi! - Any%,763.0,1993,28,7,Nintendo Entertainment System,,,,,715.46,,47.53999999999997,6.23066841415465,0,1,0,0,1,0,0,0,0,1,0,0
65,Dragon Ball Z: Buu's Fury,Any%,Dragon Ball Z: Buu's Fury - Any%,8158.0,2004,17,20,Game Boy Advance,,,,,7042.57,BizHawk,1115.4300000000003,13.6728364795293,0,0,0,1,1,0,0,0,0,0,0,1
66,Dragon Ball: Advanced Adventure,Any%,Dragon Ball: Advanced Adventure - Any%,2422.0,2004,17,33,Game Boy Advance,,,,,1947.56,BizHawk,474.44000000000005,19.588769611891,0,0,0,1,0,0,0,1,0,0,0,1
67,The Legend of Zelda: Spirit Tracks,Any%,The Legend of Zelda: Spirit Tracks - Any%,15257.0,2009,12,15,Nintendo DS,,,,,14246.32,,1010.6800000000004,6.62436914203317,0,0,1,0,1,0,0,0,0,0,0,1
68,Rambo,Any%,Rambo - Any%,1098.0,1987,34,7,Nintendo Entertainment System,Action,,Pack-In-Video,Acclaim,998.52,,99.48000000000002,9.06010928961749,0,1,0,0,1,0,0,0,0,1,0,0
69,ALF,Any%,ALF - Any%,293.0,1989,32,13,Sega Master System,,,,,292.39,,0.6100000000000136,0.208191126279868,0,0,1,0,1,0,0,0,1,0,0,0
70,Mickey's Dangerous Chase,Any%,Mickey's Dangerous Chase - Any%,743.0,1991,30,14,Game Boy Color,,,,,701.78,,41.22000000000003,5.54777927321669,0,0,1,0,1,0,0,0,0,1,0,0
71,Space Shuttle Project,Any%,Space Shuttle Project - Any%,3404.0,1991,30,5,Nintendo Entertainment System,Action,,Imagineering,Absolute Entertainment,3270.01,,133.98999999999978,3.93625146886016,0,1,0,0,1,0,0,0,0,0,0,1
72,Astérix and the Great Rescue,Any%,Astérix and the Great Rescue - Any%,1751.0,1993,28,2,Sega Genesis,,,,,1477.87,,273.1300000000001,15.598515134209,1,0,0,0,1,0,0,0,0,0,1,0
73,Bonk 3: Bonk's Big Adventure,Any%,Bonk 3: Bonk's Big Adventure - Any%,1653.0,1993,28,3,Wii Virtual Console,,,,,1137.05,BizHawk,515.95,31.2129461584997,1,0,0,0,1,0,0,0,0,0,1,0
74,Lucky Luke: On the Daltons' Trail,Any%,Lucky Luke: On the Daltons' Trail - Any%,2701.0,1998,23,1,PlayStation,,,,,2549.35,,151.6500000000001,5.61458718992966,1,0,0,0,1,0,0,0,0,0,0,1
75,Mega Man: Dr. Wily's Revenge,Any%,Mega Man: Dr. Wily's Revenge - Any%,1137.0,1991,30,1,Super Game Boy,,,,,1018.11,lsnes,118.89,10.4564643799472,1,0,0,0,1,0,0,0,0,1,0,0
76,Adventures of Lolo 3,Any%,Adventures of Lolo 3 - Any%,4686.0,1991,30,3,Nintendo Entertainment System,,,,,4028.7,,657.3000000000002,14.0268886043534,1,0,0,0,1,0,0,0,0,0,0,1
77,Castlevania: Portrait of Ruin,Any%,Castlevania: Portrait of Ruin - Any%,736.0,2006,15,8,Nintendo DS,,,,,244.59,,491.41,66.7676630434783,0,0,1,0,1,0,0,0,0,1,0,0
78,The Magic of Scheherazade,Any%,The Magic of Scheherazade - Any%,3460.0,1987,34,8,Nintendo Entertainment System,Adventure,,Culture Brain,Culture Brain,2878.71,,581.29,16.800289017341,0,0,1,0,1,0,0,0,0,0,0,1
79,Urusei Yatsura: Lum no Wedding Bell,Any%,Urusei Yatsura: Lum no Wedding Bell - Any%,986.0,1986,35,2,Nintendo Entertainment System,Platform,,Jaleco,Jaleco,565.74,,420.26,42.6227180527383,1,0,0,0,1,0,0,0,0,1,0,0
80,Sonic Heroes,Team Sonic,Sonic Heroes - Team Sonic,2776.0,2003,18,39,GameCube,Action,RenderWare (Version 3.5.0.0),Sonic Team,SEGA,2161.23,Dolphin,614.77,22.1458933717579,0,0,0,1,0,0,0,1,0,0,0,1
81,The Mutant Virus: Crisis in a Computer World,Any%,The Mutant Virus: Crisis in a Computer World - Any%,6340.0,1992,29,1,Nintendo Entertainment System,,,,,1077.21,,5262.79,83.0093059936909,1,0,0,0,1,0,0,0,0,0,0,1
82,Hammerin' Harry,Any%,Hammerin' Harry - Any%,424.23,1990,31,38,Nintendo Entertainment System,Platformer,,,Irem,405.9,,18.33000000000004,4.32076939396083,0,0,0,1,0,0,0,1,1,0,0,0
83,Alex Kidd: High-Tech World,Any%,Alex Kidd: High-Tech World - Any%,517.0,1989,32,3,Sega Master System,Action-adventure,,SEGA,SEGA,399.16,,117.83999999999996,22.7930367504836,1,0,0,0,1,0,0,0,1,0,0,0
84,Battle Kid 2: Mountain of Torment,100%,Battle Kid 2: Mountain of Torment - 100%,5696.0,2012,9,1,Nintendo Entertainment System,,,,,2758.69,BizHawk,2937.31,51.5679424157303,1,0,0,0,1,0,0,0,0,0,0,1
85,Milon's Secret Castle,Any%,Milon's Secret Castle - Any%,505.0,1986,35,7,Nintendo Entertainment System,Metroidvania,,Hudson Soft,Hudson Soft,328.43,,176.57,34.9643564356436,0,1,0,0,1,0,0,0,1,0,0,0
86,Cheetahmen II,Any%,Cheetahmen II - Any%,225.0,1992,29,9,Nintendo Entertainment System,,,,,71.68,,153.32,68.1422222222222,0,0,1,0,1,0,0,0,1,0,0,0
87,Star Wars,Any%,Star Wars - Any%,566.767,1991,30,8,Nintendo Entertainment System,,,,,473.35,,93.41700000000004,16.4824345807007,0,0,1,0,1,0,0,0,1,0,0,0
88,Shatterhand,Any%,Shatterhand - Any%,1192.0,1991,30,21,Nintendo Entertainment System,Action/Platformer,,Natsume,Jaleco,1063.23,,128.76999999999998,10.8028523489933,0,0,0,1,1,0,0,0,0,1,0,0
89,Gimmick!,Any%,Gimmick! - Any%,345.0,1992,29,22,Nintendo Entertainment System,Platformer,,Sunsoft,Sunsoft,264.61,FCEUX,80.38999999999999,23.3014492753623,0,0,0,1,0,1,0,0,1,0,0,0
90,Wario Land 4,Any%,Wario Land 4 - Any%,2632.0,2001,20,10,Game Boy Advance,Platformer,,Nintendo R&D1,Nintendo,2404.88,VBA,227.1199999999999,8.62917933130699,0,0,1,0,1,0,0,0,0,0,0,1
91,Instruments of Chaos starring Young Indiana Jones,Any%,Instruments of Chaos starring Young Indiana Jones - Any%,1076.0,1994,27,1,Sega Genesis,,,,,544.58,,531.42,49.3884758364312,1,0,0,0,1,0,0,0,0,1,0,0
92,Princess Rescue,Any%,Princess Rescue - Any%,381.244,2013,8,5,Atari 2600,,,,,368.42,,12.824000000000012,3.3637250684601,0,1,0,0,1,0,0,0,1,0,0,0
93,Advance Wars 2: Black Hole Rising,Any%,Advance Wars 2: Black Hole Rising - Any%,4798.0,2003,18,4,Wii U,,,,,4101.25,,696.75,14.5216756982076,0,1,0,0,1,0,0,0,0,0,0,1
94,Halo 2600,Any%,Halo 2600 - Any%,14.2,2010,11,6,Atari 2600,,,,,7.54,,6.66,46.9014084507042,0,1,0,0,1,0,0,0,1,0,0,0
95,Celeste,Any%,Celeste - Any%,1820.0,2018,3,2503,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,1624.43,,195.56999999999996,10.7456043956044,0,0,0,1,0,0,0,1,0,0,1,0
96,Celeste,100%,Celeste - 100%,7684.0,2018,3,64,PlayStation 4,2D Platformer,MonoGame,Matt Makes Games Inc.,Matt Makes Games Inc.,5256.12,libTAS,2427.88,31.5965642894326,0,0,0,1,0,0,0,1,0,0,0,1
97,Spyro: Year of the Dragon,Any%,Spyro: Year of the Dragon - Any%,1438.0,2000,21,83,PlayStation 2,,,Insomniac Games,Sony Computer Entertainment,1355.17,,82.82999999999993,5.76008344923504,0,0,0,1,0,0,0,1,0,0,1,0
98,Spyro: Year of the Dragon,117%,Spyro: Year of the Dragon - 117%,10593.0,2000,21,93,PlayStation 2,,,Insomniac Games,Sony Computer Entertainment,8874.15,PSXjin,1718.8500000000004,16.2262815066553,0,0,0,1,0,0,0,1,0,0,0,1
99,Wild Guns,Any%,Wild Guns - Any%,1160.0,1995,26,14,Super Nintendo,Shooting Gallery,,Natsume,Natsume,1147.55,,12.450000000000044,1.07327586206897,0,0,1,0,1,0,0,0,0,1,0,0
100,Teenage Mutant Ninja Turtles,Any%,Teenage Mutant Ninja Turtles - Any%,1001.1,1989,32,75,Nintendo Entertainment System,Action,,Konami,Ultra Games,944.93,BizHawk,56.17000000000007,5.610828089102,0,0,0,1,0,0,0,1,0,1,0,0
101,Mario & Luigi: Bowser's Inside Story,Any%,Mario & Luigi: Bowser's Inside Story - Any%,19188.0,2009,12,10,Nintendo DS,,,,,17389.35,,1798.6500000000017,9.37382739212008,0,0,1,0,1,0,0,0,0,0,0,1
102,Monster World IV,Any%,Monster World IV - Any%,4554.0,1994,27,4,Wii Virtual Console,,,,,3910.64,,643.3600000000001,14.1273605621432,0,1,0,0,1,0,0,0,0,0,0,1
103,Dragon Warrior,Any%,Dragon Warrior - Any%,1463.0,1986,35,3,Nintendo Entertainment System,JRPG,,Chunsoft,Enix,1019.57,FCEUX,443.43,30.3096377306904,1,0,0,0,1,0,0,0,0,0,1,0
104,Contra Force,Any%,Contra Force - Any%,695.0,1992,29,10,Nintendo Entertainment System,,,,,596.0,,99.0,14.2446043165468,0,0,1,0,1,0,0,0,0,1,0,0
105,The California Raisins: The Grape Escape,Any%,The California Raisins: The Grape Escape - Any%,272.0,1990,31,25,Nintendo Entertainment System,,,,,255.83,,16.169999999999987,5.94485294117647,0,0,0,1,0,1,0,0,1,0,0,0
106,Virtual Boy Wario Land,Any%,Virtual Boy Wario Land - Any%,1146.0,1995,26,7,Virtual Boy,,,,,1047.33,BizHawk,98.67000000000009,8.60994764397906,0,1,0,0,1,0,0,0,0,1,0,0
107,Final Fantasy V,Any%,Final Fantasy V - Any%,12927.0,1992,29,4,Super Nintendo,,,,,12357.13,,569.8700000000008,4.40837007813105,0,1,0,0,1,0,0,0,0,0,0,1
108,Donald Land,Any%,Donald Land - Any%,768.0,1988,33,4,Nintendo Entertainment System,,,,,516.13,BizHawk,251.87,32.7955729166667,0,1,0,0,1,0,0,0,0,1,0,0
109,Legend of Hero Tonma,Any%,Legend of Hero Tonma - Any%,324.0,1989,32,9,Wii Virtual Console,Platformer,,Irem,Irem,299.28,,24.720000000000027,7.62962962962964,0,0,1,0,1,0,0,0,1,0,0,0
110,Turok: Evolution,Any%,Turok: Evolution - Any%,6558.0,2002,19,2,GameCube,,,,,1124.83,BizHawk,5433.17,82.8479719426655,1,0,0,0,1,0,0,0,0,0,0,1
111,Super Metroid,Any%,Super Metroid - Any%,2455.0,1994,27,1143,Super Nintendo,Action Adventure,,DeerForce,Nintendo,2158.31,lsnes,296.69000000000005,12.0851323828921,0,0,0,1,0,0,0,1,0,0,0,1
112,Super Metroid,100%,Super Metroid - 100%,4384.0,1994,27,499,Super Nintendo,Action Adventure,,DeerForce,Nintendo,3707.03,,676.9699999999998,15.4418339416058,0,0,0,1,0,0,0,1,0,0,0,1
113,Axiom Verge,Any%,Axiom Verge - Any%,1826.433,2015,6,11,Wii U,Metroidvania,MonoGame,Thomas Happ Games,Thomas Happ Games,1488.86,libTAS,337.5730000000001,18.4826380162864,0,0,1,0,1,0,0,0,0,0,1,0
114,Solomon's Key,Any%,Solomon's Key - Any%,747.0,1987,34,7,Nintendo Entertainment System,Puzzle,,Tecmo,Tecmo,691.68,,55.32000000000005,7.40562248995985,0,1,0,0,1,0,0,0,0,1,0,0
115,Road Runner's Death Valley Rally,Any%,Road Runner's Death Valley Rally - Any%,1291.0,1992,29,4,Super Nintendo,Platform,,ICOM Simulations,Sunsoft,1199.67,,91.32999999999991,7.07436096049573,0,1,0,0,1,0,0,0,0,0,1,0
116,Metroid: Zero Mission,Any%,Metroid: Zero Mission - Any%,2212.0,2004,17,282,Game Boy Advance,,,,,1928.09,,283.9100000000001,12.8349909584087,0,0,0,1,0,0,0,1,0,0,1,0
117,Metroid: Zero Mission,100%,Metroid: Zero Mission - 100%,3951.0,2004,17,109,Game Boy Advance,,,,,3673.92,,277.0799999999999,7.01290812452544,0,0,0,1,0,0,0,1,0,0,0,1
118,Pitfall!,Any%,Pitfall! - Any%,1150.0,1982,39,1,Atari 2600,,,,,1091.2,,58.79999999999996,5.11304347826087,1,0,0,0,1,0,0,0,0,1,0,0
119,Pyjamarama,Any%,Pyjamarama - Any%,663.0,1984,37,1,Commodore 64,,,,,645.96,,17.039999999999964,2.57013574660633,1,0,0,0,1,0,0,0,1,0,0,0
120,Castelian,Any%,Castelian - Any%,874.0,1991,30,2,Nintendo Entertainment System,Platformer,,Triffix Entertainment Inc.,Nintendo,838.29,,35.71000000000004,4.08581235697941,1,0,0,0,1,0,0,0,0,1,0,0
121,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Any%,Donkey Kong Country 3: Dixie Kong's Double Trouble! - Any%,2790.0,1996,25,162,Super Nintendo,Platformer,,Rare,Nintendo,2553.73,,236.27,8.46845878136201,0,0,0,1,0,0,0,1,0,0,0,1
122,Mario Pinball Land,Any%,Mario Pinball Land - Any%,1053.0,2004,17,7,Game Boy Advance,,,,,420.41,,632.59,60.0750237416904,0,1,0,0,1,0,0,0,0,1,0,0
123,Sonic Advance,Amy,Sonic Advance - Amy,970.0,2001,20,8,Game Boy Advance,Action,,Sonic Team,SEGA,925.8,VBA,44.200000000000045,4.55670103092784,0,0,1,0,1,0,0,0,0,1,0,0
