game,category,game+category,TAS_time(seconds)
Dino Crisis,Any%,Dino Crisis - Any%,5576.72
Die Hard,Any%,Die Hard - Any%,101.23
Hammerin' Harry: Ghost Building Company,Any%,Hammerin' Harry: Ghost Building Company - Any%,1000.49
Streets of Rage 3,Any%,Streets of Rage 3 - Any%,2292.55
Prehistorik Man,Any%,Prehistorik Man - Any%,764.57
Disney's Aladdin,all gems,Disney's Aladdin - all gems,973.62
Hero's Quest,Any%,Hero's Quest - Any%,40.9
Earnest Evans,Any%,Earnest Evans - Any%,456.54
Super Castlevania IV,Any%,Super Castlevania IV - Any%,1778.08
Heart Like a Wheel,Any%,Heart Like a Wheel - Any%,110.04
Super Mario All-Stars: The Lost Levels,"Luigi, warpless","Super Mario All-Stars: The Lost Levels - Luigi, warpless",2085.63
Super Mario All-Stars: The Lost Levels,"warpless, Luigi","Super Mario All-Stars: The Lost Levels - warpless, Luigi",2092.69
Castlevania: Bloodlines,John Morris,Castlevania: Bloodlines - John Morris,1656.17
Thunder Castle,Any%,Thunder Castle - Any%,124.57
Castlevania: Aria of Sorrow,Soma Any%,Castlevania: Aria of Sorrow - Soma Any%,1258.62
Castlevania: Bloodlines,Eric Lecarde,Castlevania: Bloodlines - Eric Lecarde,1661.93
Disney's Aladdin,Any%,Disney's Aladdin - Any%,928.72
Tomb Raider,Any%,Tomb Raider - Any%,3139.45
Monopoly,4 CPUs,Monopoly - 4 CPUs,67.67
Spider-Man: Web of Fire,Any%,Spider-Man: Web of Fire - Any%,405.48
Batman,Any%,Batman - Any%,553.9
Pizza Pop!,Any%,Pizza Pop! - Any%,561.86
Advanced Dungeons & Dragons: Cloudy Mountain,Any%,Advanced Dungeons & Dragons: Cloudy Mountain - Any%,11.46
Chack'n Pop,Any%,Chack'n Pop - Any%,342.83
Super Contra 7,Any%,Super Contra 7 - Any%,267.56
Daze Before Christmas,Any%,Daze Before Christmas - Any%,1248.21
Spike,Any%,Spike - Any%,271.04
Pokémon: Yellow ,Any%,Pokémon: Yellow  - Any%,5786.54
BurgerTime,Any%,BurgerTime - Any%,303.29
Winnie the Pooh: Adventures in the 100 Acre Wood,100%,Winnie the Pooh: Adventures in the 100 Acre Wood - 100%,1060.63
Winnie the Pooh: Adventures in the 100 Acre Wood,Any%,Winnie the Pooh: Adventures in the 100 Acre Wood - Any%,623.55
Looney Tunes: Carrot Crazy,Any%,Looney Tunes: Carrot Crazy - Any%,1522.08
Flicky,Any%,Flicky - Any%,880.25
Prince of Persia: The Sands of Time,Any%,Prince of Persia: The Sands of Time - Any%,2177.73
The Legend of Zelda: Triforce of the Gods,Any%,The Legend of Zelda: Triforce of the Gods - Any%,1739.27
Super Smash Bros. Brawl,"The Subspace Emissary, 1 player","Super Smash Bros. Brawl - The Subspace Emissary, 1 player",4205.6
Monkey Magic,Any%,Monkey Magic - Any%,2426.37
Sorcerer's Maze,Any%,Sorcerer's Maze - Any%,2702.23
Punky Skunk,Any%,Punky Skunk - Any%,2853.37
Pokémon: Gold ,Any%,Pokémon: Gold  - Any%,10377.88
Pokémon: Silver ,Any%,Pokémon: Silver  - Any%,10461.2
Castlevania,"pacifist, minimalist","Castlevania - pacifist, minimalist",667.52
M.C. Kids,all levels,M.C. Kids - all levels,1466.29
Suikoden II,best ending,Suikoden II - best ending,24517.71
Castlevania: Aria of Sorrow,Julius mode,Castlevania: Aria of Sorrow - Julius mode,227.25
Zelda II: The Adventure of Link,Any%,Zelda II: The Adventure of Link - Any%,2098.74
Donkey Kong Country 4,Any%,Donkey Kong Country 4 - Any%,776.27
Plok,Any%,Plok - Any%,1578.52
The Ultimate Doom,Episode 1,The Ultimate Doom - Episode 1,212.01
Contra III: The Alien Wars,2 players,Contra III: The Alien Wars - 2 players,757.04
Contra III: The Alien Wars,Any%,Contra III: The Alien Wars - Any%,794.7
Double Dragon Advance,Any%,Double Dragon Advance - Any%,803.5
EarthBound,Any%,EarthBound - Any%,3437.02
Tetris the Absolute: The Grand Master 2 Plus,T.A. Death,Tetris the Absolute: The Grand Master 2 Plus - T.A. Death,200.02
Wizards & Warriors X: Fortress of Fear,Any%,Wizards & Warriors X: Fortress of Fear - Any%,588.47
The Humans,Hard mode,The Humans - Hard mode,1811.05
Home Alone 2: Lost in New York,Any%,Home Alone 2: Lost in New York - Any%,400.03
Donald in Maui Mallard,Any%,Donald in Maui Mallard - Any%,623.6
Cooly Skunk,Any%,Cooly Skunk - Any%,1276.25
Braid,Any%,Braid - Any%,1179.58
Tiny Toon Adventures,Any%,Tiny Toon Adventures - Any%,659.88
L'Abbaye des Morts,Any%,L'Abbaye des Morts - Any%,156.7
The Legend of Zelda: Majora's Mask,game end glitch,The Legend of Zelda: Majora's Mask - game end glitch,1364.9
Mortal Kombat Trilogy,Endurance Mode,Mortal Kombat Trilogy - Endurance Mode,1435.92
Super Boy 4,Any%,Super Boy 4 - Any%,603.01
Rocket: Robot on Wheels,100%,Rocket: Robot on Wheels - 100%,4492.8
Marble Madness,Any%,Marble Madness - Any%,162.07
Avenging Spirit,best ending,Avenging Spirit - best ending,488.25
Bonk's Revenge,Any%,Bonk's Revenge - Any%,969.63
The Bouncing Ball,Any%,The Bouncing Ball - Any%,500.9
The Adventures of Captain Comic: Episode 1 - Planet of Death,Any%,The Adventures of Captain Comic: Episode 1 - Planet of Death - Any%,390.98
River City Ransom,1 player,River City Ransom - 1 player,314.45
Socks the Cat Rocks the Hill,Any%,Socks the Cat Rocks the Hill - Any%,921.38
Castlevania,Any%,Castlevania - Any%,618.91
Karnov,Any%,Karnov - Any%,518.91
Bugz,2 players,Bugz - 2 players,162.14
Ikari Warriors II: Victory Road,Any%,Ikari Warriors II: Victory Road - Any%,465.52
Mega Man ZX,Any%,Mega Man ZX - Any%,4089.0
Q*bert 3,X-Bert,Q*bert 3 - X-Bert,924.69
Ninja Five-O,Any%,Ninja Five-O - Any%,966.98
James Bond Jr.,Any%,James Bond Jr. - Any%,1109.84
Q*bert 3,Any%,Q*bert 3 - Any%,3168.2
Suzuki Bakuhatsu,Any%,Suzuki Bakuhatsu - Any%,924.57
Arumana no Kiseki,Any%,Arumana no Kiseki - Any%,483.6
Sword of Vermilion,Any%,Sword of Vermilion - Any%,5603.86
Mouse Trap Hotel,Any%,Mouse Trap Hotel - Any%,1395.81
Pokémon: Red ,save glitch,Pokémon: Red  - save glitch,75.62
Pokémon: Yellow ,save glitch,Pokémon: Yellow  - save glitch,69.63
Pocket Monsters: Green,warp glitch,Pocket Monsters: Green - warp glitch,264.37
Oddworld: Abe's Exoddus,Any%,Oddworld: Abe's Exoddus - Any%,2209.97
DK: King of Swing,Diddy mode,DK: King of Swing - Diddy mode,998.79
DK: King of Swing,Diddy Mode,DK: King of Swing - Diddy Mode,1038.67
Donkey Kong Land 2,100%,Donkey Kong Land 2 - 100%,3306.77
The Legend of Zelda: Ocarina of Time,game end glitch,The Legend of Zelda: Ocarina of Time - game end glitch,397.33
Battletoads & Double Dragon: The Ultimate Team,2 players,Battletoads & Double Dragon: The Ultimate Team - 2 players,987.56
Batman: Return of the Joker,Any%,Batman: Return of the Joker - Any%,224.69
Splatterhouse,Any%,Splatterhouse - Any%,730.68
Castlevania: Harmony of Dissonance,Any%,Castlevania: Harmony of Dissonance - Any%,298.45
Confuzion,Any%,Confuzion - Any%,1618.33
Chip 'n Dale: Rescue Rangers 2,1 player,Chip 'n Dale: Rescue Rangers 2 - 1 player,913.79
Kir,1 player,Kir - 1 player,5410.85
Insmouse no Yakata,Any%,Insmouse no Yakata - Any%,75.94
Disney's DuckTales 2,Any%,Disney's DuckTales 2 - Any%,521.29
Magical Tree,Any%,Magical Tree - Any%,501.46
Final Fantasy IX,Any%,Final Fantasy IX - Any%,28697.77
Genpei Touma Den,Any%,Genpei Touma Den - Any%,474.06
The Legend of Zelda: Link's Awakening,game end glitch,The Legend of Zelda: Link's Awakening - game end glitch,62.42
Paper Mario: The Thousand-Year Door,Any%,Paper Mario: The Thousand-Year Door - Any%,6429.03
Super Mario Bros.,all items,Super Mario Bros. - all items,1188.68
Contra,2 players,Contra - 2 players,517.76
Contra,pacifist,Contra - pacifist,527.88
Oddworld: Abe's Oddysee,100%,Oddworld: Abe's Oddysee - 100%,3856.17
Gargoyle's Quest,Any%,Gargoyle's Quest - Any%,1010.26
Gargoyle's Quest,no zips,Gargoyle's Quest - no zips,1358.72
Breath of Fire II,best ending,Breath of Fire II - best ending,16495.03
Breath of Fire II,Any%,Breath of Fire II - Any%,17628.98
H.E.R.O.,Any%,H.E.R.O. - Any%,607.03
Crimson Room,Any%,Crimson Room - Any%,612.49
Strider 2,Any%,Strider 2 - Any%,518.6
Devil Island,save glitch,Devil Island - save glitch,116.08
Devil Island,demo glitch,Devil Island - demo glitch,130.28
Advanced Dungeons & Dragons: Dragons of Flame,Any%,Advanced Dungeons & Dragons: Dragons of Flame - Any%,596.24
Hamtaro: Ham-Ham Games,Any%,Hamtaro: Ham-Ham Games - Any%,1191.9
Dragon Warrior II,Any%,Dragon Warrior II - Any%,2672.5
Star Control,"Melee mode, Hierarchy","Star Control - Melee mode, Hierarchy",97.47
The Lord of the Rings: The Return of the King,Any%,The Lord of the Rings: The Return of the King - Any%,1109.14
Oddworld: Abe's Oddysee,Any%,Oddworld: Abe's Oddysee - Any%,779.96
Phantasy Star II,game end glitch,Phantasy Star II - game end glitch,171.09
Phantasy Star II,warp glitch,Phantasy Star II - warp glitch,459.46
Turok: Dinosaur Hunter,Any%,Turok: Dinosaur Hunter - Any%,2197.42
Kid Icarus,Any%,Kid Icarus - Any%,1166.41
I Wanna Be The Boshy,Dark Boshy,I Wanna Be The Boshy - Dark Boshy,1342.22
Ultima: The False Prophet,Any%,Ultima: The False Prophet - Any%,310.84
Fushigi no Yume no Alice,Any%,Fushigi no Yume no Alice - Any%,648.18
Castlevania Legends,100%,Castlevania Legends - 100%,1342.48
Glover,all stages,Glover - all stages,2235.28
E.V.O.: Search for Eden,Any%,E.V.O.: Search for Eden - Any%,2431.17
Resident Evil 4,The Mercenaries: Waterworld,Resident Evil 4 - The Mercenaries: Waterworld,516.57
Madou Monogatari I,Any%,Madou Monogatari I - Any%,929.05
Men in Black: The Series,Any%,Men in Black: The Series - Any%,264.66
M.C. Kids,Any%,M.C. Kids - Any%,1083.45
Baba Is You,Any%,Baba Is You - Any%,168.7
Shadow of the Ninja,2 players,Shadow of the Ninja - 2 players,505.3
Shadow of the Ninja,Any%,Shadow of the Ninja - Any%,570.41
Pink Panther: Pinkadelic Pursuit,Any%,Pink Panther: Pinkadelic Pursuit - Any%,1390.4
Pokémon: Emerald ,game end glitch,Pokémon: Emerald  - game end glitch,3294.81
Pokémon: Emerald ,Pomeg glitch,Pokémon: Emerald  - Pomeg glitch,4572.27
Mickey Mania 7,Any%,Mickey Mania 7 - Any%,484.97
Konami GB Collection Vol. 1: Castlevania: The Adventure,Any%,Konami GB Collection Vol. 1: Castlevania: The Adventure - Any%,841.02
The Emperor's New Groove,Any%,The Emperor's New Groove - Any%,453.91
Battletoads,"warps, 2 players","Battletoads - warps, 2 players",640.61
Battletoads,"warps, 1 player","Battletoads - warps, 1 player",807.98
Mario Party 7,Solo Cruise,Mario Party 7 - Solo Cruise,1305.22
The Punisher,Any%,The Punisher - Any%,3540.5
Michael Jackson's Moonwalker,Any%,Michael Jackson's Moonwalker - Any%,1110.0
Battletoads,"warpless, 2 players","Battletoads - warpless, 2 players",1155.11
Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1704.76
Sonic 3 & Knuckles,Any%,Sonic 3 & Knuckles - Any%,1613.06
A Nightmare on Elm Street,4 Players,A Nightmare on Elm Street - 4 Players,885.21
A Nightmare On Elm Street,4 Players,A Nightmare On Elm Street - 4 Players,975.75
Pop'n TwinBee: Rainbow Bell Adventures,100%,Pop'n TwinBee: Rainbow Bell Adventures - 100%,2361.54
Final Fantasy: Crystal Chronicles,Any%,Final Fantasy: Crystal Chronicles - Any%,5743.08
Final Fantasy: Crystal Chronicles,all dungeons,Final Fantasy: Crystal Chronicles - all dungeons,6853.4
Mechanized Attack,Any%,Mechanized Attack - Any%,596.83
Hamtaro: Ham-Hams Unite!,Any%,Hamtaro: Ham-Hams Unite! - Any%,2582.27
Skate Boardin',all obstacles,Skate Boardin' - all obstacles,115.4
Baseball,Any%,Baseball - Any%,491.06
King Kong 2: Ikari no Megaton Punch,Any%,King Kong 2: Ikari no Megaton Punch - Any%,175.31
Dash Galaxy in the Alien Asylum,Any%,Dash Galaxy in the Alien Asylum - Any%,368.28
Crash Team Racing,Any%,Crash Team Racing - Any%,2704.34
Advanced Dungeons & Dragons: Heroes of the Lance,Any%,Advanced Dungeons & Dragons: Heroes of the Lance - Any%,335.9
Tengen Tetris,30 lines,Tengen Tetris - 30 lines,23.55
Tengen Tetris,"Cooperative, 30 lines","Tengen Tetris - Cooperative, 30 lines",19.43
Pokémon Trading Card Game,game end glitch,Pokémon Trading Card Game - game end glitch,175.81
Pokémon Card GB2: GR-dan Sanjou!,game end glitch,Pokémon Card GB2: GR-dan Sanjou! - game end glitch,113.41
NFL Street 2,NFL Challenge,NFL Street 2 - NFL Challenge,1327.1
It's Mr. Pants,Any%,It's Mr. Pants - Any%,2697.27
Ba,Any%,Ba - Any%,798.14
Super Bowling,Golf Mode,Super Bowling - Golf Mode,76.01
Eggsplode!,Any%,Eggsplode! - Any%,158.07
Rollerblade Racer,Any%,Rollerblade Racer - Any%,254.71
Tetris,Mode B,Tetris - Mode B,36.89
Dynamite Headdy,Any%,Dynamite Headdy - Any%,1959.59
INK,all coins,INK - all coins,560.1
INK,Any%,INK - Any%,532.57
Mari0,warps,Mari0 - warps,66.93
Mari0,"Portal mappack, 4 players","Mari0 - Portal mappack, 4 players",174.8
F-Zero: Maximum Velocity,Grand Prix Knight,F-Zero: Maximum Velocity - Grand Prix Knight,654.09
Order of Twilight,Any%,Order of Twilight - Any%,47.23
New Super Mario Bros. Wii,warps,New Super Mario Bros. Wii - warps,1494.8
Super Mario Advance 4: Super Mario Bros. 3,warps,Super Mario Advance 4: Super Mario Bros. 3 - warps,667.65
The Wing of Madoola,Any%,The Wing of Madoola - Any%,961.2
Crusader of Centy,Any%,Crusader of Centy - Any%,1750.77
FTL: Faster Than Light,Any%,FTL: Faster Than Light - Any%,191.25
Secret of Evermore,game end glitch,Secret of Evermore - game end glitch,389.39
Multidude,Any%,Multidude - Any%,308.43
Tom and Jerry: The Movie,Any%,Tom and Jerry: The Movie - Any%,77.18
Overlord,Any%,Overlord - Any%,237.41
Hey Arnold! The Movie,Any%,Hey Arnold! The Movie - Any%,1647.72
Boing!,Any%,Boing! - Any%,288.29
Clockwork Knight,Any%,Clockwork Knight - Any%,844.45
Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi!,Any%,Kero Kero Keroppi no Daibouken 2: Donuts Ike ha Oosawagi! - Any%,715.46
Zelda II: The Adventure of Link,warp glitch,Zelda II: The Adventure of Link - warp glitch,331.89
The Smurfs,Any%,The Smurfs - Any%,490.65
Dragon Ball Z: Buu's Fury,Any%,Dragon Ball Z: Buu's Fury - Any%,7042.57
Dragon Ball: Advanced Adventure,Any%,Dragon Ball: Advanced Adventure - Any%,1947.56
Ecco: The Tides of Time,Any%,Ecco: The Tides of Time - Any%,2135.2
Tiny Toon Adventures: Wacky Sports Challenge,Any%,Tiny Toon Adventures: Wacky Sports Challenge - Any%,3864.09
Super Boy II,Any%,Super Boy II - Any%,350.6
Mike Tyson's Punch-Out!!,Any%,Mike Tyson's Punch-Out!! - Any%,1057.84
Mike Tyson's Punch-Out!!,last boss only,Mike Tyson's Punch-Out!! - last boss only,86.95
Tomb Raider II: Starring Lara Croft,Any%,Tomb Raider II: Starring Lara Croft - Any%,2651.36
The Legend of Zelda: Spirit Tracks,Any%,The Legend of Zelda: Spirit Tracks - Any%,14246.32
Digimon Ru,Any%,Digimon Ru - Any%,14262.46
Digimon Sapphire,Any%,Digimon Sapphire - Any%,1823.93
Mortal Kombat,Any%,Mortal Kombat - Any%,500.13
Top Gear 2,all tracks,Top Gear 2 - all tracks,8159.96
Castlevania III: Dracula's Curse,"Grant path, warp glitch","Castlevania III: Dracula's Curse - Grant path, warp glitch",869.42
Pokémon Trading Card Game,Any%,Pokémon Trading Card Game - Any%,1002.69
Rambo,Any%,Rambo - Any%,998.52
Harvest Moon 3 GBC,Boy mode,Harvest Moon 3 GBC - Boy mode,1353.43
Harvest Moon 3 GBC,Girl mode,Harvest Moon 3 GBC - Girl mode,1056.88
ALF,Any%,ALF - Any%,292.39
Mickey's Dangerous Chase,Any%,Mickey's Dangerous Chase - Any%,701.78
Destiny of an Emperor,Any%,Destiny of an Emperor - Any%,4562.5
Space Shuttle Project,Any%,Space Shuttle Project - Any%,3270.01
Stadium Events,Tournament,Stadium Events - Tournament,363.04
Ufouria: The Saga,Any%,Ufouria: The Saga - Any%,1421.98
Castlevania: Symphony of the Night,Maria mode,Castlevania: Symphony of the Night - Maria mode,409.47
Castlevania: Symphony of the Night,Maria Mode,Castlevania: Symphony of the Night - Maria Mode,405.72
Simple 1500 Series Vol.30: The Basket ~1 on 1 Plus~,Any%,Simple 1500 Series Vol.30: The Basket ~1 on 1 Plus~ - Any%,258.56
Contra: The Alien Wars,pacifist,Contra: The Alien Wars - pacifist,471.44
Game Boy Camera,Any%,Game Boy Camera - Any%,181.98
Phantasy Star IV,"all sidequests, Blast from the Past","Phantasy Star IV - all sidequests, Blast from the Past",7010.98
Phantasy Star IV,all sidequests,Phantasy Star IV - all sidequests,6911.7
Namco Museum Megamix,Pac'n Roll Remix,Namco Museum Megamix - Pac'n Roll Remix,921.02
Astérix and the Great Rescue,Any%,Astérix and the Great Rescue - Any%,1477.87
Shovel Knight,King of Cards,Shovel Knight - King of Cards,1630.67
Donkey Kong 64,Any%,Donkey Kong 64 - Any%,1606.83
Bonk 3: Bonk's Big Adventure,Any%,Bonk 3: Bonk's Big Adventure - Any%,1137.05
Super Turrican,Any%,Super Turrican - Any%,472.06
Devilish: The Next Possession,Any%,Devilish: The Next Possession - Any%,667.21
Dr. Muto,all items,Dr. Muto - all items,3481.43
Astérix & Obélix,2 players,Astérix & Obélix - 2 players,1912.75
Super Smash Bros. Melee,Classic Mode,Super Smash Bros. Melee - Classic Mode,336.93
Phantasy Star IV,Any%,Phantasy Star IV - Any%,5129.44
Prince of Persia: The Two Thrones,Any%,Prince of Persia: The Two Thrones - Any%,6226.77
Zen: Intergalactic Ninja,Any%,Zen: Intergalactic Ninja - Any%,855.8
